21645,Plac Wolnica,0
21645,Stradom,0
21645,Wawel,0
21645,Św.Gertrudy,0
21645,Poczta Główna,0
21645,Filharmonia,0
21645,Jubilat,0
21645,Komorowskiego,0
21645,Salwator,0
21645,Salwator Pętla,0
21645,Uniwersytet Jagielloński,0
21645,Oleandry,0
21645,Park Jordana,0
21645,Reymana,0
21645,Cichy Kącik,0
21645,Urzędnicza,0
21645,Wzgórza Krzesławickie,0
21645,Os.Piastów,0
21645,Piasta Kołodzieja,0
21645,Kleeberga,0
21645,Jarzębiny,0
21645,Darwina,0
21645,Wiadukty,0
21645,Elektromontaż,0
21645,Os.Złotego Wieku,0
21645,Rondo Piastowskie,0
21645,Dunikowskiego,0
21645,Rondo Hipokratesa,0
21645,DH Wanda,0
21645,Wańkowicza,0
21645,Cienista,0
21645,Teatr Ludowy,0
21645,Rondo Kocmyrzowskie im. Ks. Gorzelanego,0
21645,Zajezdnia Nowa Huta,0
21645,Walcownia,0
21645,Agencja Kraków Wschód,0
21645,Blokowa,0
21645,Mrozowa,0
21645,Kombinat,0
21645,Struga,0
21645,Kopiec Wandy,0
21645,Kopiec Wandy Pętla,0
21645,Fort Mogiła,0
21645,Brama nr 4,0
21645,Giedroycia,0
21645,Brama nr 5,0
21645,Meksyk,0
21645,Koksochemia,0
21645,Pleszów,0
21645,Bardosa,0
21645,Suche Stawy,0
21645,Klasztorna,0
21645,Os.Na Skarpie,0
21645,Plac Centralny im. R.Reagana,0
21645,Os.Zgody,0
21645,Os.Kolorowe,0
21645,Bieńczycka,0
21645,Rondo Czyżyńskie,0
21645,Czyżyny,0
21645,Stella-Sawickiego,0
21645,AWF,0
21645,Centralna,0
21645,Rondo 308. Dywizjonu,0
21645,M1 Al. Pokoju,0
21645,TAURON Arena Kraków Al. Pokoju,0
21645,Kuklińskiego,0
21645,None,0
21645,Gromadzka,0
21645,Mały Płaszów,0
21645,Rzebika,0
21645,Lipska,0
21645,Dworzec Płaszów Estakada,0
21645,Dworcowa,0
21645,Kabel,0
21645,Bieżanowska,0
21645,Dauna,0
21645,Wlotowa,0
21645,Prokocim,0
21645,Prokocim Szpital,0
21645,Teligi,0
21645,Nowy Prokocim,0
21645,Ćwiklińskiej,0
21645,Nowy Bieżanów P+R,0
21645,Rondo Mogilskie,0
21645,Muzeum Narodowe,0
